commit_hash,dirty,post_count,word_count,llm_model,tts_model,render_seconds,longform,duration_seconds
dea0ad0,true,20,1000,claude-sonnet-4-5,eleven_multilingual_v2,280.1
dea0ad0,true,20,1000,claude-sonnet-4-5,eleven_multilingual_v2,315.5
b9f3e30,True,10,1000,claude-sonnet-4-5,eleven_multilingual_v2,304.3
c1bea31,True,10,500,claude-sonnet-4-5,macos_say,187.1
c54cf99,False,10,500,claude-sonnet-4-5,macos_say,131.8
62259d9,False,10,1000,claude-sonnet-4-5,chatterbox_turbo,1073.3
281f1cc,True,36,-1,claude-sonnet-4-5,macos_say,1738.9,True,6592.1
b42dcaa,True,600,-1,gemini-2.5-flash,google_cloud,1702.1,True,3564.9
c534dd1,False,20,-1,gemini-2.5-flash,google_cloud,878.1,True,2375.9
f00c0c7,False,40,-1,gemini-2.5-flash,google_cloud,2002.8,True,4260.4
82c04f0,True,2,-1,gemini-2.5-flash,google_cloud,583.4,True,1515.3
82c04f0,True,2,-1,gemini-2.5-flash,google_cloud,583.8,True,1488.9
82c04f0,True,2,-1,gemini-2.5-flash,google_cloud,362.4,True,913.8
82c04f0,True,2,-1,gemini-2.5-flash,google_cloud,846.1,True,2383.9
0f4672d,True,10,-1,gemini-2.5-flash,google_cloud,948.9,True,1986.6
0f4672d,True,40,-1,gemini-2.5-flash,google_cloud,1777.2,True,3957.3
